network,test_input_id,test_x0,test_x1,perturbation_radius,seed,output_dim,spec_type,spec_params,flow_volume,flow_coverage,flow_threshold,flow_delta_1,flow_verdict,flow_runtime,clip_volume,clip_coverage,clip_lb,clip_ub,clip_verdict,clip_runtime,exact_volume,exact_verdict,exact_n_stars,exact_time,exact_method,volume_ratio_clip_over_flow,volume_ratio_clip_over_exact,volume_ratio_flow_over_exact,flow_vs_exact,clip_vs_exact
RotatedBananaNet,0,0.20000000298023224,0.20000000298023224,0.05,5000,2,halfspace,"w=[1.0, 0.0],b=0.6",0.009389726923570874,0.9995999932289124,0.6817132830619812,0.9969902212511332,verified,11.93014645576477,0.006921562892559446,0.9995999932289124,"[0.14566153287887573, 0.07303044856854518]","[0.2544219195842743, 0.1366709256046192]",verified,27.11852526664734,0.0029212485533207655,verified,9,0.028037309646606445,exact,0.7371420861222665,2.3693851331791924,3.2142855194218187,match,match
RotatedBananaNet,0,0.20000000298023224,0.20000000298023224,0.05,5001,2,halfspace,"w=[1.0, 0.0],b=0.6",0.00982443679388667,0.9998000264167786,0.6895316243171692,0.9969902212511332,verified,10.077317476272583,0.007089683517495615,0.9998000264167786,"[0.1449526697397232, 0.07274852693080902]","[0.2549901753664017, 0.1371782273054123]",verified,27.188428163528442,0.0029212485533207655,verified,9,0.028037309646606445,exact,0.7216376537642569,2.426936081640958,3.3630951336607837,match,match
RotatedBananaNet,0,0.20000000298023224,0.20000000298023224,0.05,5002,2,halfspace,"w=[1.0, 0.0],b=0.6",0.009389726923570874,0.9994000196456909,0.6743273735046387,0.9969902212511332,verified,10.17821717262268,0.006970293828854224,0.9998000264167786,"[0.14551231265068054, 0.07298311597354151]","[0.25450676679611206, 0.13693401956312917]",verified,27.177120447158813,0.0029212485533207655,verified,9,0.028037309646606445,exact,0.742331900127661,2.386066677185225,3.2142855194218187,match,match
RotatedBananaNet,0,0.20000000298023224,0.20000000298023224,0.1,10000,2,halfspace,"w=[1.0, 0.0],b=0.6",0.028869611283566243,0.9998000264167786,1.036323070526123,0.9969902212511332,verified,10.196638345718384,0.027885703673549794,1.0,"[0.09316887805180295, 0.047376248985528946]","[0.3050385778216864, 0.17899348214268684]",verified,27.156060457229614,0.011679497547447681,verified,13,0.03351712226867676,exact,0.9659189172880713,2.3875773388593804,2.4718196280519886,match,match
RotatedBananaNet,0,0.20000000298023224,0.20000000298023224,0.1,10001,2,halfspace,"w=[1.0, 0.0],b=0.6",0.029621912994772792,0.9991999864578247,0.9942790269851685,0.9969902212511332,verified,10.604912519454956,0.028057946066539163,0.9995999932289124,"[0.09246931225061417, 0.04621804505586624]","[0.3055769205093384, 0.1778789758682251]",verified,27.229163885116577,0.011679497547447681,verified,13,0.03351712226867676,exact,0.9472023657449263,2.402324753488275,2.5362317920299633,match,match
RotatedBananaNet,0,0.20000000298023224,0.20000000298023224,0.1,10002,2,halfspace,"w=[1.0, 0.0],b=0.6",0.029904026410161322,0.9998000264167786,0.9637731909751892,0.9969902212511332,verified,10.39277696609497,0.028234002621040255,1.0,"[0.09254879504442215, 0.046056315302848816]","[0.305801123380661, 0.1784534752368927]",verified,27.203397274017334,0.011679497547447681,verified,13,0.03351712226867676,exact,0.9441538819483655,2.417398737089527,2.5603863769547384,match,match
RotatedBananaNet,0,0.20000000298023224,0.20000000298023224,0.2,20000,2,halfspace,"w=[1.0, 0.0],b=0.6",0.0984155228938377,1.0,1.4049701690673828,0.9969902212511332,verified,10.077120780944824,0.11359551363222925,1.0,"[-0.006705893203616142, -0.00705350935459137]","[0.4045236464589834, 0.2691803276538849]",verified,26.84282112121582,0.044665925204753876,verified,25,0.11940789222717285,exact,1.1542438661304115,2.54322535829033,2.203369177794691,match,match
RotatedBananaNet,0,0.20000000298023224,0.20000000298023224,0.2,20001,2,halfspace,"w=[1.0, 0.0],b=0.6",0.10424957451928307,1.0,1.4071050882339478,0.9969902212511332,verified,10.2107834815979,0.1131009356046174,1.0,"[-0.0033415994588116686, -0.005501285195350647]","[0.4030082366410474, 0.27283261716365814]",verified,27.01651930809021,0.044665925204753876,verified,25,0.11940789222717285,exact,1.0849054888343652,2.5321525320733724,2.333984442086237,match,match
RotatedBananaNet,0,0.20000000298023224,0.20000000298023224,0.2,20002,2,halfspace,"w=[1.0, 0.0],b=0.6",0.0971069510412077,1.0,1.3721970319747925,0.9969902212511332,verified,9.932870149612427,0.11248501404703903,1.0,"[-0.003937974572181702, -0.008269727230072021]","[0.40126220136880875, 0.2693338394165039]",verified,27.2703218460083,0.044665925204753876,verified,25,0.11940789222717285,exact,1.1583621238329849,2.518363014566349,2.1740723067093755,match,match
RotatedBananaNet,0,0.20000000298023224,0.20000000298023224,0.4,40000,2,halfspace,"w=[1.0, 0.0],b=0.6",0.37569859483379453,0.9994000196456909,1.7115992307662964,0.9969902212511332,unknown,10.4321448802948,0.501432345193491,1.0,"[-0.17952962219715118, -0.0949845165014267]","[0.6049838811159134, 0.544178918004036]",unknown,27.024802923202515,0.1644209921360016,falsified,60,0.4187612533569336,exact,1.3346665441091679,3.0496856799083716,2.284979490471835,conservative_unknown,conservative_unknown
