instance_idx,box_idx,onnx_file,vnnlib_file,ground_truth,method,verdict,q,coverage,epsilon_total,amls_bounded_eps_2_upper,flow_train_s,verify_s,wall_s,error,timestamp
0,0,tllBench_n=2_N=M=48_m=1_instance_5_3.onnx,property_N=48_3.vnnlib,sat,is_tilted,UNKNOWN,4.171624,0.9990,1.0000e-03,,54.4,0.1,54.4,,2026-05-06T21:34:42.041533+00:00
1,0,tllBench_n=2_N=M=24_m=1_instance_2_1.onnx,property_N=24_1.vnnlib,unsat,is_tilted,UNSAT,3.814565,1.0000,1.0000e-03,,49.7,0.1,49.8,,2026-05-06T21:35:55.394500+00:00
2,0,tllBench_n=2_N=M=56_m=1_instance_6_1.onnx,property_N=56_1.vnnlib,sat,is_tilted,UNKNOWN,3.235059,1.0000,1.0000e-03,,50.3,0.1,50.3,,2026-05-06T21:36:46.678761+00:00
3,0,tllBench_n=2_N=M=64_m=1_instance_7_2.onnx,property_N=64_2.vnnlib,sat,is_tilted,UNKNOWN,3.206184,0.9990,1.0000e-03,,51.1,0.1,51.2,,2026-05-06T21:37:39.369596+00:00
4,0,tllBench_n=2_N=M=56_m=1_instance_6_3.onnx,property_N=56_3.vnnlib,sat,is_tilted,UNKNOWN,3.359795,1.0000,1.0000e-03,,50.6,0.1,50.6,,2026-05-06T21:38:30.962658+00:00
5,0,tllBench_n=2_N=M=56_m=1_instance_6_2.onnx,property_N=56_2.vnnlib,sat,is_tilted,UNKNOWN,2.533130,0.9995,1.0000e-03,,51.4,0.1,51.4,,2026-05-06T21:39:23.390112+00:00
6,0,tllBench_n=2_N=M=48_m=1_instance_5_0.onnx,property_N=48_0.vnnlib,sat,is_tilted,UNKNOWN,3.529427,1.0000,1.0000e-03,,50.3,0.1,50.4,,2026-05-06T21:40:14.412576+00:00
7,0,tllBench_n=2_N=M=16_m=1_instance_1_2.onnx,property_N=16_2.vnnlib,unsat,is_tilted,UNSAT,3.292993,1.0000,1.0000e-03,,50.1,0.1,50.2,,2026-05-06T21:41:27.131356+00:00
8,0,tllBench_n=2_N=M=16_m=1_instance_1_1.onnx,property_N=16_1.vnnlib,sat,is_tilted,UNKNOWN,3.272948,0.9990,1.0000e-03,,49.8,0.1,49.9,,2026-05-06T21:42:17.236182+00:00
9,0,tllBench_n=2_N=M=32_m=1_instance_3_3.onnx,property_N=32_3.vnnlib,unsat,is_tilted,UNSAT,3.156425,0.9995,1.0000e-03,,49.9,0.1,50.0,,2026-05-06T21:43:30.792483+00:00
10,0,tllBench_n=2_N=M=56_m=1_instance_6_0.onnx,property_N=56_0.vnnlib,unsat,is_tilted,UNSAT,3.426798,1.0000,1.0000e-03,,50.5,0.1,50.6,,2026-05-06T21:44:45.886137+00:00
11,0,tllBench_n=2_N=M=24_m=1_instance_2_3.onnx,property_N=24_3.vnnlib,sat,is_tilted,UNKNOWN,3.005991,0.9990,1.0000e-03,,49.8,0.1,49.9,,2026-05-06T21:45:36.087463+00:00
12,0,tllBench_n=2_N=M=16_m=1_instance_1_3.onnx,property_N=16_3.vnnlib,unsat,is_tilted,UNSAT,3.721679,1.0000,1.0000e-03,,51.0,0.1,51.1,,2026-05-06T21:46:58.517271+00:00
13,0,tllBench_n=2_N=M=48_m=1_instance_5_1.onnx,property_N=48_1.vnnlib,sat,is_tilted,UNKNOWN,3.253208,0.9990,1.0000e-03,,50.3,0.1,50.4,,2026-05-06T21:47:49.599709+00:00
14,0,tllBench_n=2_N=M=16_m=1_instance_1_0.onnx,property_N=16_0.vnnlib,unsat,is_tilted,UNSAT,3.691376,1.0000,1.0000e-03,,49.8,0.1,49.9,,2026-05-06T21:48:54.105102+00:00
15,0,tllBench_n=2_N=M=64_m=1_instance_7_0.onnx,property_N=64_0.vnnlib,sat,is_tilted,UNKNOWN,2.700239,0.9990,1.0000e-03,,51.2,0.1,51.3,,2026-05-06T21:49:47.157367+00:00
16,0,tllBench_n=2_N=M=8_m=1_instance_0_3.onnx,property_N=8_3.vnnlib,sat,is_tilted,UNKNOWN,3.578501,1.0000,1.0000e-03,,49.8,0.1,49.8,,2026-05-06T21:50:37.226303+00:00
17,0,tllBench_n=2_N=M=8_m=1_instance_0_0.onnx,property_N=8_0.vnnlib,unsat,is_tilted,UNSAT,2.794081,1.0000,1.0000e-03,,49.7,0.1,49.8,,2026-05-06T21:51:50.263093+00:00
18,0,tllBench_n=2_N=M=64_m=1_instance_7_1.onnx,property_N=64_1.vnnlib,sat,is_tilted,UNKNOWN,3.645186,1.0000,1.0000e-03,,51.3,0.1,51.4,,2026-05-06T21:52:43.334303+00:00
19,0,tllBench_n=2_N=M=8_m=1_instance_0_1.onnx,property_N=8_1.vnnlib,unsat,is_tilted,UNSAT,3.899795,1.0000,1.0000e-03,,49.7,0.1,49.8,,2026-05-06T21:53:48.492321+00:00
20,0,tllBench_n=2_N=M=40_m=1_instance_4_3.onnx,property_N=40_3.vnnlib,sat,is_tilted,UNKNOWN,2.337855,1.0000,1.0000e-03,,50.0,0.1,50.1,,2026-05-06T21:54:39.021387+00:00
21,0,tllBench_n=2_N=M=64_m=1_instance_7_3.onnx,property_N=64_3.vnnlib,sat,is_tilted,UNKNOWN,3.223469,1.0000,1.0000e-03,,51.3,0.1,51.4,,2026-05-06T21:55:31.899191+00:00
22,0,tllBench_n=2_N=M=32_m=1_instance_3_0.onnx,property_N=32_0.vnnlib,unsat,is_tilted,UNSAT,4.389386,1.0000,1.0000e-03,,49.8,0.1,49.9,,2026-05-06T21:56:38.890870+00:00
