depth,width,n_params,instance_idx,method,verdict,wall_s,timeout_s,x_0_seed,eps,spec_threshold,empirical_max,ground_truth,amls_bounded_eps_2_upper,amls_levels_used,cex_x,cex_y,error,timestamp
40,512,9984513,0,neuralsat,UNKNOWN,8.15,300,1907361424,0.1000,0.323607,-0.000000,unsat,,,,,,2026-05-03T19:05:46.880133+00:00
40,512,9984513,1,neuralsat,UNKNOWN,8.02,300,1958922734,0.1000,0.323607,-0.000000,unsat,,,,,,2026-05-03T19:06:02.618098+00:00
40,512,9984513,2,neuralsat,UNKNOWN,8.14,300,846527582,0.1000,0.323607,-0.000000,unsat,,,,,,2026-05-03T19:06:18.542250+00:00
40,512,9984513,3,neuralsat,UNKNOWN,8.11,300,1765224026,0.1000,0.323607,0.000000,unsat,,,,,,2026-05-03T19:06:34.507577+00:00
40,512,9984513,4,neuralsat,UNKNOWN,8.11,300,1824080126,0.1000,0.323607,-0.000000,unsat,,,,,,2026-05-03T19:06:50.674340+00:00
40,512,9984513,5,neuralsat,UNKNOWN,7.59,300,1510908522,0.1000,0.323607,-0.000000,unsat,,,,,,2026-05-03T19:07:05.992111+00:00
40,512,9984513,6,neuralsat,UNKNOWN,8.09,300,1471999246,0.1000,0.323607,-0.000000,unsat,,,,,,2026-05-03T19:07:21.834566+00:00
40,512,9984513,7,neuralsat,UNKNOWN,8.16,300,1044141891,0.1000,0.323607,-0.000000,unsat,,,,,,2026-05-03T19:07:37.626012+00:00
40,512,9984513,8,neuralsat,UNKNOWN,8.00,300,1459433186,0.1000,0.323607,0.000000,unsat,,,,,,2026-05-03T19:07:53.178058+00:00
40,512,9984513,9,neuralsat,UNKNOWN,5.84,300,649112607,0.1000,0.323607,-0.000000,unsat,,,,,,2026-05-03T19:08:06.663095+00:00
