depth,width,n_params,instance_idx,method,verdict,wall_s,timeout_s,x_0_seed,eps,spec_threshold,empirical_max,ground_truth,amls_bounded_eps_2_upper,amls_levels_used,cex_x,cex_y,error,timestamp
16,512,3680769,0,alpha_beta_crown,UNSAT,25.88,300,1326024091,0.1000,0.323607,-0.000000,unsat,,,,,,2026-05-03T15:54:00.801809+00:00
16,512,3680769,1,alpha_beta_crown,UNSAT,27.97,300,335143945,0.1000,0.323607,-0.000000,unsat,,,,,,2026-05-03T15:54:36.188066+00:00
16,512,3680769,2,alpha_beta_crown,UNSAT,18.78,300,596017265,0.1000,0.323607,-0.000000,unsat,,,,,,2026-05-03T15:55:00.610817+00:00
16,512,3680769,3,alpha_beta_crown,UNSAT,25.10,300,2042357487,0.1000,0.323607,-0.000000,unsat,,,,,,2026-05-03T15:55:31.334604+00:00
16,512,3680769,4,alpha_beta_crown,UNSAT,31.77,300,1269523004,0.1000,0.323607,-0.000000,unsat,,,,,,2026-05-03T15:56:08.587899+00:00
16,512,3680769,5,alpha_beta_crown,UNSAT,19.82,300,2143757673,0.1000,0.323607,-0.000000,unsat,,,,,,2026-05-03T15:56:33.913638+00:00
16,512,3680769,6,alpha_beta_crown,UNSAT,34.87,300,513663676,0.1000,0.323607,-0.000000,unsat,,,,,,2026-05-03T15:57:14.313435+00:00
16,512,3680769,7,alpha_beta_crown,UNSAT,27.04,300,766979777,0.1000,0.323607,-0.000000,unsat,,,,,,2026-05-03T15:57:46.892345+00:00
16,512,3680769,8,alpha_beta_crown,UNSAT,24.25,300,1289066692,0.1000,0.323607,-0.000000,unsat,,,,,,2026-05-03T15:58:16.695824+00:00
16,512,3680769,9,alpha_beta_crown,UNSAT,19.23,300,980286500,0.1000,0.323607,-0.000000,unsat,,,,,,2026-05-03T15:58:41.439474+00:00
