depth,width,n_params,instance_idx,method,verdict,wall_s,timeout_s,x_0_seed,eps,spec_threshold,empirical_max,ground_truth,amls_bounded_eps_2_upper,amls_levels_used,cex_x,cex_y,error,timestamp
4,512,528897,0,alpha_beta_crown,UNSAT,9.25,300,1062565877,0.1000,0.321824,-0.000843,unsat,,,,,,2026-05-03T15:48:49.538484+00:00
4,512,528897,1,alpha_beta_crown,UNSAT,9.21,300,665039295,0.1000,0.313457,-0.008705,unsat,,,,,,2026-05-03T15:49:02.936601+00:00
4,512,528897,2,alpha_beta_crown,UNSAT,9.74,300,1033933442,0.1000,0.318746,-0.003915,unsat,,,,,,2026-05-03T15:49:16.908044+00:00
4,512,528897,3,alpha_beta_crown,UNSAT,9.47,300,1110764368,0.1000,0.315151,-0.006560,unsat,,,,,,2026-05-03T15:49:30.637742+00:00
4,512,528897,4,alpha_beta_crown,UNSAT,9.26,300,51507258,0.1000,0.318891,-0.003100,unsat,,,,,,2026-05-03T15:49:44.321671+00:00
4,512,528897,5,alpha_beta_crown,UNSAT,9.26,300,1462926829,0.1000,0.319325,-0.003029,unsat,,,,,,2026-05-03T15:49:57.768717+00:00
4,512,528897,6,alpha_beta_crown,UNSAT,9.15,300,1696278575,0.1000,0.321400,-0.001402,unsat,,,,,,2026-05-03T15:50:11.140386+00:00
4,512,528897,7,alpha_beta_crown,UNSAT,9.25,300,505463880,0.1000,0.321535,-0.000697,unsat,,,,,,2026-05-03T15:50:24.609826+00:00
4,512,528897,8,alpha_beta_crown,UNSAT,9.64,300,112988024,0.1000,0.322000,-0.001288,unsat,,,,,,2026-05-03T15:50:38.468585+00:00
4,512,528897,9,alpha_beta_crown,UNSAT,9.33,300,1047336761,0.1000,0.320663,-0.001618,unsat,,,,,,2026-05-03T15:50:52.002069+00:00
