depth,width,n_params,instance_idx,method,verdict,wall_s,timeout_s,x_0_seed,eps,spec_threshold,empirical_max,ground_truth,m,ell,epsilon,coverage,confidence,amls_bounded_eps_2_upper,amls_levels_used,cex_x,cex_y,error,timestamp
40,512,9984513,0,hashemi_clipping,UNSAT,38.31,300,1907361424,0.1000,0.323607,-0.000000,unsat,8000,7999,0.001,0.9990,0.9970,,,,,,2026-05-03T15:39:24.408101+00:00
40,512,9984513,1,hashemi_clipping,UNSAT,38.06,300,1958922734,0.1000,0.323607,-0.000000,unsat,8000,7999,0.001,0.9990,0.9970,,,,,,2026-05-03T15:40:10.035243+00:00
40,512,9984513,2,hashemi_clipping,UNSAT,38.14,300,846527582,0.1000,0.323607,-0.000000,unsat,8000,7999,0.001,0.9990,0.9970,,,,,,2026-05-03T15:40:55.845564+00:00
40,512,9984513,3,hashemi_clipping,UNSAT,38.42,300,1765224026,0.1000,0.323607,0.000000,unsat,8000,7999,0.001,0.9990,0.9970,,,,,,2026-05-03T15:41:41.901258+00:00
40,512,9984513,4,hashemi_clipping,UNSAT,37.79,300,1824080126,0.1000,0.323607,-0.000000,unsat,8000,7999,0.001,0.9990,0.9970,,,,,,2026-05-03T15:42:27.495014+00:00
40,512,9984513,5,hashemi_clipping,UNSAT,38.25,300,1510908522,0.1000,0.323607,-0.000000,unsat,8000,7999,0.001,0.9990,0.9970,,,,,,2026-05-03T15:43:13.462293+00:00
40,512,9984513,6,hashemi_clipping,UNSAT,37.95,300,1471999246,0.1000,0.323607,-0.000000,unsat,8000,7999,0.001,0.9990,0.9970,,,,,,2026-05-03T15:43:59.151847+00:00
40,512,9984513,7,hashemi_clipping,UNSAT,38.15,300,1044141891,0.1000,0.323607,-0.000000,unsat,8000,7999,0.001,0.9990,0.9970,,,,,,2026-05-03T15:44:45.108473+00:00
40,512,9984513,8,hashemi_clipping,UNSAT,37.94,300,1459433186,0.1000,0.323607,0.000000,unsat,8000,7999,0.001,0.9990,0.9970,,,,,,2026-05-03T15:45:30.728929+00:00
40,512,9984513,9,hashemi_clipping,UNSAT,38.10,300,649112607,0.1000,0.323607,-0.000000,unsat,8000,7999,0.001,0.9990,0.9970,,,,,,2026-05-03T15:46:16.611060+00:00
