depth,width,n_params,instance_idx,method,verdict,wall_s,timeout_s,x_0_seed,eps,spec_threshold,empirical_max,ground_truth,m,ell,epsilon,coverage,confidence,amls_bounded_eps_2_upper,amls_levels_used,cex_x,cex_y,error,timestamp
8,512,1579521,0,hashemi_clipping,UNSAT,51.35,300,1997940624,0.1000,0.323604,0.000007,unsat,8000,7999,0.001,0.9990,0.9970,,,,,,2026-05-03T15:06:49.269117+00:00
8,512,1579521,1,hashemi_clipping,UNSAT,49.82,300,1897875220,0.1000,0.323593,-0.000008,unsat,8000,7999,0.001,0.9990,0.9970,,,,,,2026-05-03T15:07:43.789479+00:00
8,512,1579521,2,hashemi_clipping,UNSAT,50.07,300,962832211,0.1000,0.323557,-0.000025,unsat,8000,7999,0.001,0.9990,0.9970,,,,,,2026-05-03T15:08:38.593898+00:00
8,512,1579521,3,hashemi_clipping,UNSAT,50.44,300,766179105,0.1000,0.323560,-0.000021,unsat,8000,7999,0.001,0.9990,0.9970,,,,,,2026-05-03T15:09:33.786342+00:00
8,512,1579521,4,hashemi_clipping,UNSAT,49.78,300,1864552876,0.1000,0.323583,-0.000010,unsat,8000,7999,0.001,0.9990,0.9970,,,,,,2026-05-03T15:10:28.281103+00:00
8,512,1579521,5,hashemi_clipping,UNSAT,50.02,300,1426970423,0.1000,0.323555,-0.000026,unsat,8000,7999,0.001,0.9990,0.9970,,,,,,2026-05-03T15:11:23.004444+00:00
8,512,1579521,6,hashemi_clipping,UNSAT,49.56,300,474755452,0.1000,0.323563,-0.000026,unsat,8000,7999,0.001,0.9990,0.9970,,,,,,2026-05-03T15:12:17.291295+00:00
8,512,1579521,7,hashemi_clipping,UNSAT,51.05,300,1542404704,0.1000,0.323535,-0.000046,unsat,8000,7999,0.001,0.9990,0.9970,,,,,,2026-05-03T15:13:13.078289+00:00
8,512,1579521,8,hashemi_clipping,UNSAT,49.66,300,443349821,0.1000,0.323580,-0.000005,unsat,8000,7999,0.001,0.9990,0.9970,,,,,,2026-05-03T15:14:07.523122+00:00
8,512,1579521,9,hashemi_clipping,UNSAT,50.74,300,452809179,0.1000,0.323603,0.000002,unsat,8000,7999,0.001,0.9990,0.9970,,,,,,2026-05-03T15:15:03.090082+00:00
