depth,width,n_params,instance_idx,method,verdict,wall_s,timeout_s,x_0_seed,eps,spec_threshold,empirical_max,ground_truth,amls_bounded_eps_2_upper,amls_levels_used,cex_x,cex_y,error,timestamp
8,512,1579521,0,alpha_beta_crown,UNSAT,11.10,300,1997940624,0.1000,0.323604,0.000007,unsat,,,,,,2026-05-03T15:51:12.326117+00:00
8,512,1579521,1,alpha_beta_crown,UNSAT,10.11,300,1897875220,0.1000,0.323593,-0.000008,unsat,,,,,,2026-05-03T15:51:27.044918+00:00
8,512,1579521,2,alpha_beta_crown,UNSAT,9.93,300,962832211,0.1000,0.323557,-0.000025,unsat,,,,,,2026-05-03T15:51:41.618063+00:00
8,512,1579521,3,alpha_beta_crown,UNSAT,10.17,300,766179105,0.1000,0.323560,-0.000021,unsat,,,,,,2026-05-03T15:51:56.389293+00:00
8,512,1579521,4,alpha_beta_crown,UNSAT,10.37,300,1864552876,0.1000,0.323583,-0.000010,unsat,,,,,,2026-05-03T15:52:11.389174+00:00
8,512,1579521,5,alpha_beta_crown,UNSAT,9.61,300,1426970423,0.1000,0.323555,-0.000026,unsat,,,,,,2026-05-03T15:52:25.803188+00:00
8,512,1579521,6,alpha_beta_crown,UNSAT,10.13,300,474755452,0.1000,0.323563,-0.000026,unsat,,,,,,2026-05-03T15:52:40.525388+00:00
8,512,1579521,7,alpha_beta_crown,UNSAT,9.60,300,1542404704,0.1000,0.323535,-0.000046,unsat,,,,,,2026-05-03T15:52:54.756434+00:00
8,512,1579521,8,alpha_beta_crown,UNSAT,10.29,300,443349821,0.1000,0.323580,-0.000005,unsat,,,,,,2026-05-03T15:53:09.654786+00:00
8,512,1579521,9,alpha_beta_crown,UNSAT,9.62,300,452809179,0.1000,0.323603,0.000002,unsat,,,,,,2026-05-03T15:53:23.866142+00:00
