depth,width,n_params,instance_idx,method,verdict,wall_s,timeout_s,x_0_seed,eps,spec_threshold,empirical_max,ground_truth,m,ell,epsilon,coverage,confidence,amls_bounded_eps_2_upper,amls_levels_used,cex_x,cex_y,error,timestamp
24,512,5782017,0,hashemi_clipping,UNSAT,37.45,300,1690515882,0.1000,0.323607,-0.000000,unsat,8000,7999,0.001,0.9990,0.9970,,,,,,2026-05-03T15:24:20.529249+00:00
24,512,5782017,1,hashemi_clipping,UNSAT,37.43,300,2107081347,0.1000,0.323607,-0.000000,unsat,8000,7999,0.001,0.9990,0.9970,,,,,,2026-05-03T15:25:04.155154+00:00
24,512,5782017,2,hashemi_clipping,UNSAT,37.36,300,1035188021,0.1000,0.323607,-0.000000,unsat,8000,7999,0.001,0.9990,0.9970,,,,,,2026-05-03T15:25:47.802497+00:00
24,512,5782017,3,hashemi_clipping,UNSAT,37.13,300,612809958,0.1000,0.323607,-0.000000,unsat,8000,7999,0.001,0.9990,0.9970,,,,,,2026-05-03T15:26:31.117514+00:00
24,512,5782017,4,hashemi_clipping,UNSAT,37.40,300,2053017866,0.1000,0.323607,-0.000000,unsat,8000,7999,0.001,0.9990,0.9970,,,,,,2026-05-03T15:27:14.794669+00:00
24,512,5782017,5,hashemi_clipping,UNSAT,37.65,300,372679159,0.1000,0.323607,-0.000000,unsat,8000,7999,0.001,0.9990,0.9970,,,,,,2026-05-03T15:27:58.702110+00:00
24,512,5782017,6,hashemi_clipping,UNSAT,37.42,300,120273734,0.1000,0.323607,-0.000000,unsat,8000,7999,0.001,0.9990,0.9970,,,,,,2026-05-03T15:28:42.486864+00:00
24,512,5782017,7,hashemi_clipping,UNSAT,37.59,300,907795787,0.1000,0.323607,-0.000000,unsat,8000,7999,0.001,0.9990,0.9970,,,,,,2026-05-03T15:29:26.263488+00:00
24,512,5782017,8,hashemi_clipping,UNSAT,37.58,300,840489333,0.1000,0.323607,-0.000000,unsat,8000,7999,0.001,0.9990,0.9970,,,,,,2026-05-03T15:30:10.153518+00:00
24,512,5782017,9,hashemi_clipping,UNSAT,37.68,300,1550084651,0.1000,0.323607,-0.000000,unsat,8000,7999,0.001,0.9990,0.9970,,,,,,2026-05-03T15:30:54.143517+00:00
