depth,width,n_params,instance_idx,method,verdict,wall_s,train_s,verify_s,timeout_s,x_0_seed,eps,spec_threshold,empirical_max,ground_truth,coverage,q,epsilon_total,delta_total,amls_bounded_eps_2_upper,amls_bounded_detected_unsafe,amls_levels_used,cex_x,cex_y,error,timestamp
8,512,1579521,0,ours,UNSAT,61.2,49.5,11.7,300,1997940624,0.1000,0.323604,0.000007,unsat,1.0000,3.8429,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-03T13:47:36.786579+00:00
8,512,1579521,1,ours,UNSAT,61.9,50.0,11.9,300,1897875220,0.1000,0.323593,-0.000008,unsat,0.9995,3.3290,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-03T13:48:48.027272+00:00
8,512,1579521,2,ours,UNSAT,61.2,49.5,11.6,300,962832211,0.1000,0.323557,-0.000025,unsat,1.0000,3.3603,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-03T13:49:58.517169+00:00
8,512,1579521,3,ours,UNSAT,61.2,49.5,11.7,300,766179105,0.1000,0.323560,-0.000021,unsat,0.9995,3.4310,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-03T13:51:10.664277+00:00
8,512,1579521,4,ours,UNSAT,66.4,54.6,11.7,300,1864552876,0.1000,0.323583,-0.000010,unsat,1.0000,3.3563,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-03T13:52:26.228990+00:00
8,512,1579521,5,ours,UNSAT,63.4,51.8,11.7,300,1426970423,0.1000,0.323555,-0.000026,unsat,1.0000,3.9143,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-03T13:53:38.860253+00:00
8,512,1579521,6,ours,UNSAT,60.9,49.5,11.4,300,474755452,0.1000,0.323563,-0.000026,unsat,1.0000,3.7521,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-03T13:54:48.990231+00:00
8,512,1579521,7,ours,UNSAT,61.9,50.0,11.9,300,1542404704,0.1000,0.323535,-0.000046,unsat,1.0000,3.4015,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-03T13:56:00.294337+00:00
8,512,1579521,8,ours,UNSAT,64.1,52.5,11.6,300,443349821,0.1000,0.323580,-0.000005,unsat,1.0000,3.4772,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-03T13:57:13.746416+00:00
8,512,1579521,9,ours,UNSAT,61.2,49.5,11.8,300,452809179,0.1000,0.323603,0.000002,unsat,0.9990,3.7778,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-03T13:58:24.355453+00:00
