depth,width,n_params,instance_idx,method,verdict,wall_s,timeout_s,x_0_seed,eps,spec_threshold,empirical_max,ground_truth,m,ell,epsilon,coverage,confidence,amls_bounded_eps_2_upper,amls_levels_used,cex_x,cex_y,error,timestamp
4,512,528897,0,hashemi_clipping,UNSAT,50.19,300,1062565877,0.1000,0.321824,-0.000843,unsat,8000,7999,0.001,0.9990,0.9970,,,,,,2026-05-03T14:57:34.776430+00:00
4,512,528897,1,hashemi_clipping,UNSAT,50.66,300,665039295,0.1000,0.313457,-0.008705,unsat,8000,7999,0.001,0.9990,0.9970,,,,,,2026-05-03T14:58:29.844453+00:00
4,512,528897,2,hashemi_clipping,UNSAT,50.54,300,1033933442,0.1000,0.318746,-0.003915,unsat,8000,7999,0.001,0.9990,0.9970,,,,,,2026-05-03T14:59:24.625447+00:00
4,512,528897,3,hashemi_clipping,UNSAT,50.54,300,1110764368,0.1000,0.315151,-0.006560,unsat,8000,7999,0.001,0.9990,0.9970,,,,,,2026-05-03T15:00:19.407096+00:00
4,512,528897,4,hashemi_clipping,UNSAT,51.00,300,51507258,0.1000,0.318891,-0.003100,unsat,8000,7999,0.001,0.9990,0.9970,,,,,,2026-05-03T15:01:14.665553+00:00
4,512,528897,5,hashemi_clipping,UNSAT,50.36,300,1462926829,0.1000,0.319325,-0.003029,unsat,8000,7999,0.001,0.9990,0.9970,,,,,,2026-05-03T15:02:09.272793+00:00
4,512,528897,6,hashemi_clipping,UNSAT,50.53,300,1696278575,0.1000,0.321400,-0.001402,unsat,8000,7999,0.001,0.9990,0.9970,,,,,,2026-05-03T15:03:04.054120+00:00
4,512,528897,7,hashemi_clipping,UNSAT,50.15,300,505463880,0.1000,0.321535,-0.000697,unsat,8000,7999,0.001,0.9990,0.9970,,,,,,2026-05-03T15:03:58.444590+00:00
4,512,528897,8,hashemi_clipping,UNSAT,50.42,300,112988024,0.1000,0.322000,-0.001288,unsat,8000,7999,0.001,0.9990,0.9970,,,,,,2026-05-03T15:04:53.221436+00:00
4,512,528897,9,hashemi_clipping,UNSAT,50.72,300,1047336761,0.1000,0.320663,-0.001618,unsat,8000,7999,0.001,0.9990,0.9970,,,,,,2026-05-03T15:05:48.364894+00:00
