depth,width,n_params,instance_idx,method,verdict,wall_s,train_s,verify_s,timeout_s,x_0_seed,eps,spec_threshold,empirical_max,ground_truth,coverage,q,epsilon_total,delta_total,amls_bounded_eps_2_upper,amls_bounded_detected_unsafe,amls_levels_used,cex_x,cex_y,error,timestamp
32,512,7883265,0,ours,UNSAT,63.0,51.0,12.0,300,1435313790,0.1000,0.323607,0.000000,unsat,1.0000,0.0234,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-03T14:24:26.641878+00:00
32,512,7883265,1,ours,UNSAT,61.2,49.5,11.7,300,1277580153,0.1000,0.323607,0.000000,unsat,1.0000,0.0234,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-03T14:25:39.462606+00:00
32,512,7883265,2,ours,UNSAT,62.3,50.4,11.8,300,1482464168,0.1000,0.323607,0.000000,unsat,0.9990,0.0234,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-03T14:26:53.816375+00:00
32,512,7883265,3,ours,UNSAT,61.2,49.5,11.7,300,1410718837,0.1000,0.323607,0.000000,unsat,1.0000,0.0234,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-03T14:28:05.302230+00:00
32,512,7883265,4,ours,UNSAT,61.0,49.5,11.5,300,1372622852,0.1000,0.323607,0.000000,unsat,1.0000,0.0234,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-03T14:29:17.803687+00:00
32,512,7883265,5,ours,UNSAT,65.3,53.3,11.9,300,1009909530,0.1000,0.323607,0.000000,unsat,1.0000,0.0234,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-03T14:30:34.526370+00:00
32,512,7883265,6,ours,UNSAT,66.2,50.3,15.9,300,773403822,0.1000,0.323607,0.000000,unsat,0.9995,0.0235,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-03T14:31:52.512605+00:00
32,512,7883265,7,ours,UNSAT,61.4,49.6,11.9,300,2131459806,0.1000,0.323607,0.000000,unsat,1.0000,0.0234,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-03T14:33:05.489706+00:00
32,512,7883265,8,ours,UNSAT,61.8,50.1,11.6,300,1870580989,0.1000,0.323607,0.000000,unsat,1.0000,0.0234,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-03T14:34:18.857062+00:00
32,512,7883265,9,ours,UNSAT,61.6,49.9,11.8,300,1485641716,0.1000,0.323607,0.000000,unsat,0.9995,0.0234,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-03T14:35:32.147388+00:00
