depth,width,n_params,instance_idx,method,verdict,wall_s,train_s,verify_s,timeout_s,x_0_seed,eps,spec_threshold,empirical_max,ground_truth,coverage,q,epsilon_total,delta_total,amls_bounded_eps_2_upper,amls_bounded_detected_unsafe,amls_levels_used,cex_x,cex_y,error,timestamp
16,512,3680769,0,ours,UNSAT,62.4,50.4,12.0,300,1326024091,0.1000,0.323607,-0.000000,unsat,1.0000,1.9048,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-03T13:59:42.179064+00:00
16,512,3680769,1,ours,UNSAT,67.0,55.0,12.0,300,335143945,0.1000,0.323607,-0.000000,unsat,1.0000,2.0612,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-03T14:00:59.287963+00:00
16,512,3680769,2,ours,UNSAT,64.5,52.8,11.7,300,596017265,0.1000,0.323607,-0.000000,unsat,0.9995,1.4661,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-03T14:02:11.917375+00:00
16,512,3680769,3,ours,UNSAT,64.7,49.5,15.2,300,2042357487,0.1000,0.323607,-0.000000,unsat,1.0000,1.4788,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-03T14:03:26.571709+00:00
16,512,3680769,4,ours,UNSAT,61.6,49.6,12.0,300,1269523004,0.1000,0.323607,-0.000000,unsat,1.0000,2.3238,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-03T14:04:38.267016+00:00
16,512,3680769,5,ours,UNSAT,61.4,49.5,11.9,300,2143757673,0.1000,0.323607,-0.000000,unsat,1.0000,1.7628,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-03T14:05:49.636506+00:00
16,512,3680769,6,ours,UNSAT,66.4,50.7,15.7,300,513663676,0.1000,0.323607,-0.000000,unsat,1.0000,1.4496,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-03T14:07:06.252995+00:00
16,512,3680769,7,ours,UNSAT,66.6,54.5,12.0,300,766979777,0.1000,0.323607,-0.000000,unsat,1.0000,1.8677,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-03T14:08:22.927948+00:00
16,512,3680769,8,ours,UNSAT,66.2,50.7,15.5,300,1289066692,0.1000,0.323607,-0.000000,unsat,0.9995,1.6459,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-03T14:09:39.144621+00:00
16,512,3680769,9,ours,UNSAT,61.8,50.1,11.8,300,980286500,0.1000,0.323607,-0.000000,unsat,1.0000,1.7199,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-03T14:10:51.031869+00:00
