depth,width,n_params,instance_idx,method,verdict,wall_s,timeout_s,x_0_seed,eps,spec_threshold,empirical_max,ground_truth,amls_bounded_eps_2_upper,amls_levels_used,cex_x,cex_y,error,timestamp
16,512,3680769,0,neuralsat,UNKNOWN,7.16,300,1326024091,0.1000,0.323607,-0.000000,unsat,,,,,,2026-05-03T18:58:36.575224+00:00
16,512,3680769,1,neuralsat,UNKNOWN,7.18,300,335143945,0.1000,0.323607,-0.000000,unsat,,,,,,2026-05-03T18:58:49.299294+00:00
16,512,3680769,2,neuralsat,UNKNOWN,7.26,300,596017265,0.1000,0.323607,-0.000000,unsat,,,,,,2026-05-03T18:59:02.182460+00:00
16,512,3680769,3,neuralsat,UNKNOWN,7.09,300,2042357487,0.1000,0.323607,-0.000000,unsat,,,,,,2026-05-03T18:59:14.900566+00:00
16,512,3680769,4,neuralsat,UNKNOWN,7.23,300,1269523004,0.1000,0.323607,-0.000000,unsat,,,,,,2026-05-03T18:59:27.641957+00:00
16,512,3680769,5,neuralsat,UNKNOWN,7.08,300,2143757673,0.1000,0.323607,-0.000000,unsat,,,,,,2026-05-03T18:59:40.325396+00:00
16,512,3680769,6,neuralsat,UNKNOWN,7.15,300,513663676,0.1000,0.323607,-0.000000,unsat,,,,,,2026-05-03T18:59:52.969993+00:00
16,512,3680769,7,neuralsat,UNKNOWN,6.68,300,766979777,0.1000,0.323607,-0.000000,unsat,,,,,,2026-05-03T19:00:05.097460+00:00
16,512,3680769,8,neuralsat,UNKNOWN,7.17,300,1289066692,0.1000,0.323607,-0.000000,unsat,,,,,,2026-05-03T19:00:17.638456+00:00
16,512,3680769,9,neuralsat,UNKNOWN,7.17,300,980286500,0.1000,0.323607,-0.000000,unsat,,,,,,2026-05-03T19:00:30.355364+00:00
