depth,width,n_params,instance_idx,method,verdict,wall_s,timeout_s,x_0_seed,eps,spec_threshold,empirical_max,ground_truth,m,ell,epsilon,coverage,confidence,amls_bounded_eps_2_upper,amls_levels_used,cex_x,cex_y,error,timestamp
2,512,3585,0,hashemi_clipping,UNSAT,46.81,300,15859557,0.1000,0.312342,-0.004720,unsat,8000,7999,0.001,0.9990,0.9970,,,,,,2026-05-03T14:49:01.609064+00:00
2,512,3585,1,hashemi_clipping,UNSAT,43.29,300,1333207912,0.1000,0.319916,0.004402,unsat,8000,7999,0.001,0.9990,0.9970,,,,,,2026-05-03T14:49:49.301677+00:00
2,512,3585,2,hashemi_clipping,UNSAT,46.59,300,1942830158,0.1000,0.312262,-0.004062,unsat,8000,7999,0.001,0.9990,0.9970,,,,,,2026-05-03T14:50:39.911840+00:00
2,512,3585,3,hashemi_clipping,UNSAT,49.88,300,828675423,0.1000,0.300151,-0.016783,unsat,8000,7999,0.001,0.9990,0.9970,,,,,,2026-05-03T14:51:33.844143+00:00
2,512,3585,4,hashemi_clipping,UNSAT,43.86,300,881180685,0.1000,0.291473,-0.025728,unsat,8000,7999,0.001,0.9990,0.9970,,,,,,2026-05-03T14:52:21.754876+00:00
2,512,3585,5,hashemi_clipping,UNSAT,50.03,300,900982671,0.1000,0.326080,0.006974,unsat,8000,7999,0.001,0.9990,0.9970,,,,,,2026-05-03T14:53:15.965056+00:00
2,512,3585,6,hashemi_clipping,UNSAT,47.10,300,1942595559,0.1000,0.311494,-0.005547,unsat,8000,7999,0.001,0.9990,0.9970,,,,,,2026-05-03T14:54:07.081494+00:00
2,512,3585,7,hashemi_clipping,UNSAT,47.01,300,1036081765,0.1000,0.291727,-0.026064,unsat,8000,7999,0.001,0.9990,0.9970,,,,,,2026-05-03T14:54:58.177502+00:00
2,512,3585,8,hashemi_clipping,UNSAT,46.42,300,2143606874,0.1000,0.327747,0.014492,unsat,8000,7999,0.001,0.9990,0.9970,,,,,,2026-05-03T14:55:48.648188+00:00
2,512,3585,9,hashemi_clipping,UNSAT,43.24,300,2103714509,0.1000,0.330038,0.009518,unsat,8000,7999,0.001,0.9990,0.9970,,,,,,2026-05-03T14:56:36.004984+00:00
