depth,width,n_params,instance_idx,method,verdict,wall_s,train_s,verify_s,timeout_s,x_0_seed,eps,spec_threshold,empirical_max,ground_truth,coverage,q,epsilon_total,delta_total,amls_bounded_eps_2_upper,amls_bounded_detected_unsafe,amls_levels_used,cex_x,cex_y,error,timestamp
24,512,5782017,0,ours,UNSAT,62.2,50.4,11.8,300,1690515882,0.1000,0.323607,-0.000000,unsat,0.9995,0.0760,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-03T14:12:09.255855+00:00
24,512,5782017,1,ours,UNSAT,64.2,52.6,11.6,300,2107081347,0.1000,0.323607,-0.000000,unsat,0.9995,0.0815,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-03T14:13:24.343999+00:00
24,512,5782017,2,ours,UNSAT,61.6,49.5,12.0,300,1035188021,0.1000,0.323607,-0.000000,unsat,1.0000,0.0993,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-03T14:14:36.693077+00:00
24,512,5782017,3,ours,UNSAT,62.2,50.4,11.8,300,612809958,0.1000,0.323607,-0.000000,unsat,1.0000,0.0721,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-03T14:15:49.648714+00:00
24,512,5782017,4,ours,UNSAT,62.0,50.4,11.6,300,2053017866,0.1000,0.323607,-0.000000,unsat,1.0000,0.0676,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-03T14:17:02.341667+00:00
24,512,5782017,5,ours,UNSAT,62.3,50.4,11.9,300,372679159,0.1000,0.323607,-0.000000,unsat,1.0000,0.0815,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-03T14:18:15.463407+00:00
24,512,5782017,6,ours,UNSAT,61.4,49.5,11.9,300,120273734,0.1000,0.323607,-0.000000,unsat,1.0000,0.0801,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-03T14:19:27.741335+00:00
24,512,5782017,7,ours,UNSAT,61.7,49.6,12.1,300,907795787,0.1000,0.323607,-0.000000,unsat,0.9995,0.0790,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-03T14:20:40.203482+00:00
24,512,5782017,8,ours,UNSAT,61.1,49.5,11.7,300,840489333,0.1000,0.323607,-0.000000,unsat,0.9995,0.0811,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-03T14:21:52.399061+00:00
24,512,5782017,9,ours,UNSAT,61.8,50.2,11.6,300,1550084651,0.1000,0.323607,-0.000000,unsat,1.0000,0.0864,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-03T14:23:04.925342+00:00
