network,test_input_id,test_x0,test_x1,perturbation_radius,seed,output_dim,spec_type,spec_params,flow_volume,flow_coverage,flow_threshold,flow_delta_1,flow_verdict,flow_runtime,clip_volume,clip_coverage,clip_lb,clip_ub,clip_verdict,clip_runtime,exact_volume,exact_verdict,exact_n_stars,exact_time,exact_method,volume_ratio_clip_over_flow,volume_ratio_clip_over_exact,volume_ratio_flow_over_exact,flow_vs_exact,clip_vs_exact
RotatedBananaNet,0,0.20000000298023224,0.20000000298023224,0.05,5000,2,halfspace,"w=[1.0, 0.0],b=0.6",0.009302785354362575,0.9995999932289124,0.6883702874183655,0.9969902212511332,verified,10.253317594528198,0.006921562892559446,0.9995999932289124,"[0.14566153287887573, 0.07303044856854518]","[0.2544219195842743, 0.1366709256046192]",verified,26.92295813560486,0.0029212485533207655,verified,9,0.022106409072875977,exact,0.744031236764326,2.3693851331791924,3.1845237351636917,match,match
RotatedBananaNet,0,0.20000000298023224,0.20000000298023224,0.05,5001,2,halfspace,"w=[1.0, 0.0],b=0.6",0.010433030814756217,0.9998000264167786,0.7145652174949646,0.9969902212511332,verified,9.951523303985596,0.007089683517495615,0.9998000264167786,"[0.1449526697397232, 0.07274852693080902]","[0.2549901753664017, 0.1371782273054123]",verified,26.95642924308777,0.0029212485533207655,verified,9,0.022106409072875977,exact,0.6795420854569072,2.426936081640958,3.5714286628901672,match,match
RotatedBananaNet,0,0.20000000298023224,0.20000000298023224,0.05,5002,2,halfspace,"w=[1.0, 0.0],b=0.6",0.009780965503213945,0.9994000196456909,0.7023472189903259,0.9969902212511332,verified,9.569304943084717,0.006970293828854224,0.9998000264167786,"[0.14551231265068054, 0.07298311597354151]","[0.25450676679611206, 0.13693401956312917]",verified,26.960240364074707,0.0029212485533207655,verified,9,0.022106409072875977,exact,0.7126386271952234,2.386066677185225,3.348214068294638,match,match
RotatedBananaNet,0,0.20000000298023224,0.20000000298023224,0.1,10000,2,halfspace,"w=[1.0, 0.0],b=0.6",0.03056229177589742,0.9998000264167786,1.1028072834014893,0.9969902212511332,verified,10.084888696670532,0.027885703673549794,1.0,"[0.09316887805180295, 0.047376248985528946]","[0.3050385778216864, 0.17899348214268684]",verified,27.063817977905273,0.011679497547447681,verified,13,0.032263994216918945,exact,0.9124218785039384,2.3875773388593804,2.6167471376006404,match,match
RotatedBananaNet,0,0.20000000298023224,0.20000000298023224,0.1,10001,2,halfspace,"w=[1.0, 0.0],b=0.6",0.03140863202206301,0.9991999864578247,1.050081729888916,0.9969902212511332,verified,9.88240385055542,0.028057946066539163,0.9995999932289124,"[0.09246931225061417, 0.04621804505586624]","[0.3055769205093384, 0.1778789758682251]",verified,27.032882690429688,0.011679497547447681,verified,13,0.032263994216918945,exact,0.8933195831906924,2.402324753488275,2.6892108923749665,match,match
RotatedBananaNet,0,0.20000000298023224,0.20000000298023224,0.1,10002,2,halfspace,"w=[1.0, 0.0],b=0.6",0.03314833178187371,0.9998000264167786,1.0660737752914429,0.9969902212511332,verified,10.10261869430542,0.028234002621040255,1.0,"[0.09254879504442215, 0.046056315302848816]","[0.305801123380661, 0.1784534752368927]",verified,26.798269748687744,0.011679497547447681,verified,13,0.032263994216918945,exact,0.851747315877877,2.417398737089527,2.838164197321794,match,match
RotatedBananaNet,0,0.20000000298023224,0.20000000298023224,0.2,20000,2,halfspace,"w=[1.0, 0.0],b=0.6",0.11139219799735844,1.0,1.5583964586257935,0.9969902212511332,verified,10.091119289398193,0.11359551363222925,1.0,"[-0.006705893203616142, -0.00705350935459137]","[0.4045236464589834, 0.2691803276538849]",verified,26.666346311569214,0.044665925204753876,verified,25,0.10381913185119629,exact,1.0197798021269233,2.54322535829033,2.4938965774630986,match,match
RotatedBananaNet,0,0.20000000298023224,0.20000000298023224,0.2,20001,2,halfspace,"w=[1.0, 0.0],b=0.6",0.11591767777017381,1.0,1.5583420991897583,0.9969902212511332,verified,10.02180290222168,0.1131009356046174,1.0,"[-0.0033415994588116686, -0.005501285195350647]","[0.4030082366410474, 0.27283261716365814]",verified,27.011661052703857,0.044665925204753876,verified,25,0.10381913185119629,exact,0.975700495215742,2.5321525320733724,2.5952149706693297,match,match
RotatedBananaNet,0,0.20000000298023224,0.20000000298023224,0.2,20002,2,halfspace,"w=[1.0, 0.0],b=0.6",0.11002909935541094,1.0,1.5206722021102905,0.9969902212511332,verified,9.962144374847412,0.11248501404703903,1.0,"[-0.003937974572181702, -0.008269727230072021]","[0.40126220136880875, 0.2693338394165039]",verified,26.82170557975769,0.044665925204753876,verified,25,0.10381913185119629,exact,1.0223205925161225,2.518363014566349,2.4633789370985726,match,match
RotatedBananaNet,0,0.20000000298023224,0.20000000298023224,0.4,40000,2,halfspace,"w=[1.0, 0.0],b=0.6",0.41863350010471834,0.9994000196456909,1.9439738988876343,0.9969902212511332,unknown,10.150858402252197,0.501432345193491,1.0,"[-0.17952962219715118, -0.0949845165014267]","[0.6049838811159134, 0.544178918004036]",unknown,26.916423797607422,0.1644209921360016,falsified,60,0.42023324966430664,exact,1.1977836104087731,3.0496856799083716,2.546107371487235,conservative_unknown,conservative_unknown
RotatedBananaNet,0,0.20000000298023224,0.20000000298023224,0.4,40001,2,halfspace,"w=[1.0, 0.0],b=0.6",0.4155719252842882,0.9991999864578247,1.946648120880127,0.9969902212511332,unknown,10.167076110839844,0.5016882695245205,1.0,"[-0.1824859082698822, -0.10146742948354408]","[0.6053836941719055, 0.5352981824523322]",unknown,26.952953815460205,0.1644209921360016,falsified,60,0.42023324966430664,exact,1.207223681391184,3.0512421984994877,2.5274870312213293,conservative_unknown,conservative_unknown
