benchmark,onnx_file,vnnlib_file,verdict,wall_s,vnncomp_timeout_s,p_filter,lp_solver,p_min,p_max,threshold,n_disjuncts,error,timestamp
metaroom_2023,4cnn_tz_117_19_no_custom_OP.onnx,spec_idx_49_eps_0.00001000.vnnlib,NOT_APPLICABLE,4.16,210,0.0,gurobi,,,0.001,0,load_onnx_network Exception: error: incorrect dilation,2026-05-06T00:03:10.100111+00:00
metaroom_2023,4cnn_ry_68_11_no_custom_OP.onnx,spec_idx_34_eps_0.00000436.vnnlib,NOT_APPLICABLE,4.20,210,0.0,gurobi,,,0.001,0,load_onnx_network Exception: error: incorrect dilation,2026-05-06T00:03:18.586244+00:00
metaroom_2023,4cnn_tz_33_5_no_custom_OP.onnx,spec_idx_58_eps_0.00001000.vnnlib,NOT_APPLICABLE,4.11,210,0.0,gurobi,,,0.001,0,load_onnx_network Exception: error: incorrect dilation,2026-05-06T00:03:26.671229+00:00
metaroom_2023,6cnn_ry_57_9_no_custom_OP.onnx,spec_idx_129_eps_0.00000436.vnnlib,NOT_APPLICABLE,4.42,210,0.0,gurobi,,,0.001,0,load_onnx_network Exception: error: incorrect dilation,2026-05-06T00:03:35.098810+00:00
metaroom_2023,6cnn_ry_1_0_no_custom_OP.onnx,spec_idx_108_eps_0.00000436.vnnlib,NOT_APPLICABLE,4.19,210,0.0,gurobi,,,0.001,0,load_onnx_network Exception: error: incorrect dilation,2026-05-06T00:03:43.269113+00:00
metaroom_2023,6cnn_tz_52_8_no_custom_OP.onnx,spec_idx_187_eps_0.00001000.vnnlib,NOT_APPLICABLE,4.28,210,0.0,gurobi,,,0.001,0,load_onnx_network Exception: error: incorrect dilation,2026-05-06T00:03:51.630657+00:00
metaroom_2023,6cnn_ry_64_10_no_custom_OP.onnx,spec_idx_132_eps_0.00000436.vnnlib,NOT_APPLICABLE,4.20,210,0.0,gurobi,,,0.001,0,load_onnx_network Exception: error: incorrect dilation,2026-05-06T00:03:59.792014+00:00
metaroom_2023,6cnn_tz_49_8_no_custom_OP.onnx,spec_idx_185_eps_0.00001000.vnnlib,NOT_APPLICABLE,4.21,210,0.0,gurobi,,,0.001,0,load_onnx_network Exception: error: incorrect dilation,2026-05-06T00:04:08.202070+00:00
metaroom_2023,6cnn_ry_66_11_no_custom_OP.onnx,spec_idx_134_eps_0.00000436.vnnlib,NOT_APPLICABLE,4.30,210,0.0,gurobi,,,0.001,0,load_onnx_network Exception: error: incorrect dilation,2026-05-06T00:04:16.689158+00:00
metaroom_2023,4cnn_ry_20_3_no_custom_OP.onnx,spec_idx_7_eps_0.00000436.vnnlib,NOT_APPLICABLE,4.09,210,0.0,gurobi,,,0.001,0,load_onnx_network Exception: error: incorrect dilation,2026-05-06T00:04:24.766820+00:00
metaroom_2023,6cnn_tz_103_17_no_custom_OP.onnx,spec_idx_154_eps_0.00001000.vnnlib,NOT_APPLICABLE,4.47,210,0.0,gurobi,,,0.001,0,load_onnx_network Exception: error: incorrect dilation,2026-05-06T00:04:33.221287+00:00
metaroom_2023,4cnn_ry_44_7_no_custom_OP.onnx,spec_idx_21_eps_0.00000436.vnnlib,NOT_APPLICABLE,4.10,210,0.0,gurobi,,,0.001,0,load_onnx_network Exception: error: incorrect dilation,2026-05-06T00:04:41.309103+00:00
metaroom_2023,4cnn_ry_99_16_no_custom_OP.onnx,spec_idx_43_eps_0.00000436.vnnlib,NOT_APPLICABLE,4.19,210,0.0,gurobi,,,0.001,0,load_onnx_network Exception: error: incorrect dilation,2026-05-06T00:04:49.500470+00:00
metaroom_2023,4cnn_tz_19_3_no_custom_OP.onnx,spec_idx_51_eps_0.00001000.vnnlib,NOT_APPLICABLE,4.09,210,0.0,gurobi,,,0.001,0,load_onnx_network Exception: error: incorrect dilation,2026-05-06T00:04:57.651407+00:00
metaroom_2023,6cnn_tz_66_11_no_custom_OP.onnx,spec_idx_197_eps_0.00001000.vnnlib,NOT_APPLICABLE,4.49,210,0.0,gurobi,,,0.001,0,load_onnx_network Exception: error: incorrect dilation,2026-05-06T00:05:06.176601+00:00
metaroom_2023,6cnn_tz_0_0_no_custom_OP.onnx,spec_idx_152_eps_0.00001000.vnnlib,NOT_APPLICABLE,4.36,210,0.0,gurobi,,,0.001,0,load_onnx_network Exception: error: incorrect dilation,2026-05-06T00:05:14.554979+00:00
metaroom_2023,6cnn_tz_118_19_no_custom_OP.onnx,spec_idx_162_eps_0.00001000.vnnlib,NOT_APPLICABLE,4.16,210,0.0,gurobi,,,0.001,0,load_onnx_network Exception: error: incorrect dilation,2026-05-06T00:05:22.707752+00:00
metaroom_2023,6cnn_tz_67_11_no_custom_OP.onnx,spec_idx_198_eps_0.00001000.vnnlib,NOT_APPLICABLE,4.19,210,0.0,gurobi,,,0.001,0,load_onnx_network Exception: error: incorrect dilation,2026-05-06T00:05:30.872581+00:00
metaroom_2023,6cnn_tz_21_3_no_custom_OP.onnx,spec_idx_170_eps_0.00001000.vnnlib,NOT_APPLICABLE,4.20,210,0.0,gurobi,,,0.001,0,load_onnx_network Exception: error: incorrect dilation,2026-05-06T00:05:39.042503+00:00
metaroom_2023,4cnn_tz_1_0_no_custom_OP.onnx,spec_idx_52_eps_0.00001000.vnnlib,NOT_APPLICABLE,4.06,210,0.0,gurobi,,,0.001,0,load_onnx_network Exception: error: incorrect dilation,2026-05-06T00:05:47.099125+00:00
metaroom_2023,4cnn_ry_48_8_no_custom_OP.onnx,spec_idx_24_eps_0.00000436.vnnlib,NOT_APPLICABLE,4.09,210,0.0,gurobi,,,0.001,0,load_onnx_network Exception: error: incorrect dilation,2026-05-06T00:05:55.172552+00:00
metaroom_2023,4cnn_ry_61_10_no_custom_OP.onnx,spec_idx_31_eps_0.00000436.vnnlib,NOT_APPLICABLE,4.11,210,0.0,gurobi,,,0.001,0,load_onnx_network Exception: error: incorrect dilation,2026-05-06T00:06:03.283387+00:00
