benchmark,onnx_file,vnnlib_file,verdict,wall_s,vnncomp_timeout_s,m,ell,epsilon,coverage,coverage_empirical,coverage_n_test,confidence,cex_x,cex_y,error,timestamp
dist_shift_2023,mnist_concat.onnx,index5938_delta0.13.vnnlib,UNSAT,115.8,300,8000,7999,0.001,0.9990,1.0000,1000,0.9970,,,,2026-05-02T08:54:29.734727+00:00
dist_shift_2023,mnist_concat.onnx,index8964_delta0.13.vnnlib,UNSAT,133.7,300,8000,7999,0.001,0.9990,1.0000,1000,0.9970,,,,2026-05-02T08:56:48.406963+00:00
dist_shift_2023,mnist_concat.onnx,index4665_delta0.13.vnnlib,UNSAT,119.1,300,8000,7999,0.001,0.9990,0.9980,1000,0.9970,,,,2026-05-02T08:58:52.499087+00:00
dist_shift_2023,mnist_concat.onnx,index2204_delta0.13.vnnlib,UNSAT,131.0,300,8000,7999,0.001,0.9990,0.9990,1000,0.9970,,,,2026-05-02T09:01:08.454204+00:00
dist_shift_2023,mnist_concat.onnx,index6405_delta0.13.vnnlib,UNSAT,145.0,300,8000,7999,0.001,0.9990,1.0000,1000,0.9970,,,,2026-05-02T09:03:38.267483+00:00
dist_shift_2023,mnist_concat.onnx,index4739_delta0.13.vnnlib,SAT,2.9,300,8000,7999,0.001,,,0,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09803921729326248, 0.0235294122248888, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08627451211214066, 0.1568627506494522, 0.5372549295425415, 0.8313725590705872, 0.8235294222831726, 0.1568627506494522, 0.3921568691730499, 0.062745101749897, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.062745101749897, 0.615686297416687, 0.886274516582489, 0.9921568632125854, 0.9960784316062927, 0.9921568632125854, 0.9921568632125854, 0.4627451002597809, 0.9019607901573181, 0.23529411852359772, 0.2078431397676468, 0.6470588445663452, 0.0313725508749485, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.054901961237192154, 0.5529412031173706, 0.8784313797950745, 0.95686274766922, 0.615686297416687, 1.0, 0.8274509906768799, 0.6000000238418579, 0.9333333373069763, 0.9058823585510254, 0.7098039388656616, 0.8117647171020508, 0.9215686321258545, 0.0941176488995552, 0.054901961237192154, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5843137502670288, 0.9921568632125854, 0.9686274528503418, 0.6235294342041016, 0.0, 0.2980392277240753, 0.08235294371843338, 0.0470588244497776, 0.15294118225574493, 0.4470588266849518, 0.2666666805744171, 0.27843138575553894, 0.9215686321258545, 0.658823549747467, 0.16862745583057404, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.22745098173618317, 0.686274528503418, 0.9960784316062927, 0.9921568632125854, 0.6823529601097107, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.42352941632270813, 0.9921568632125854, 0.8745098114013672, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4000000059604645, 0.2235294133424759, 0.7411764860153198, 0.9921568632125854, 0.8980392217636108, 0.658823549747467, 0.16862745583057404, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3686274588108063, 0.9921568632125854, 0.843137264251709, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.239215686917305, 0.6627451181411743, 0.9215686321258545, 0.9725490212440491, 0.6941176652908325, 0.09019608050584793, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.18039216101169586, 0.8039215803146362, 0.9921568632125854, 0.9921568632125854, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7019608020782471, 0.9960784316062927, 0.9960784316062927, 0.2823529541492462, 0.09019608050584793, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.23137255012989044, 0.9372549057006836, 0.9960784316062927, 0.9960784316062927, 0.46666666865348816, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8470588326454163, 0.9921568632125854, 0.40784314274787903, 0.0117647061124444, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.027450980618596077, 0.2862745225429535, 0.7529411911964417, 0.7882353067398071, 0.9921568632125854, 0.9921568632125854, 0.8901960849761963, 0.18039216101169586, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9960784316062927, 0.9921568632125854, 0.5686274766921997, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12156862765550613, 0.12156862765550613, 0.4000000059604645, 0.686274528503418, 0.7803921699523926, 0.9921568632125854, 0.9921568632125854, 0.9960784316062927, 0.9921568632125854, 0.7764706015586853, 0.16862745583057404, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6392157077789307, 0.9921568632125854, 0.9686274528503418, 0.8588235378265381, 0.5333333611488342, 0.9215686321258545, 0.9176470637321472, 0.9176470637321472, 0.7960784435272217, 0.9450980424880981, 0.9960784316062927, 0.9921568632125854, 0.9921568632125854, 0.9921568632125854, 0.929411768913269, 0.6039215922355652, 0.27843138575553894, 0.0235294122248888, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.23137255012989044, 0.9333333373069763, 0.9921568632125854, 0.9921568632125854, 0.9921568632125854, 0.9960784316062927, 0.9921568632125854, 0.9921568632125854, 0.9921568632125854, 0.9921568632125854, 0.9960784316062927, 0.9921568632125854, 0.8705882430076599, 0.7568627595901489, 0.22745098173618317, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.18039216101169586, 0.3843137323856354, 0.5882353186607361, 0.7647058963775635, 0.7686274647712708, 0.615686297416687, 0.9254902005195618, 0.9960784316062927, 0.9960784316062927, 1.0, 0.9764705896377563, 0.23529411852359772, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.37254902720451355, 0.529411792755127, 0.6784313917160034, 0.15294118225574493, 0.1411764770746231, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -21.253782272338867, -86.28588104248047, -49.648929595947266, -28.425661087036133, -14.545367240905762, -37.05099868774414, -20.949447631835938, -50.41714096069336]","[-1.14670991897583, -47.71516799926758, -7.208138465881348, -9.029139518737793, -7.404815673828125, -5.044714450836182, -0.711152970790863, -9.363865852355957, -9.650349617004395, -6.474785804748535]",,2026-05-02T09:03:46.158395+00:00
dist_shift_2023,mnist_concat.onnx,index5291_delta0.13.vnnlib,UNKNOWN,125.6,300,8000,7999,0.001,0.9990,1.0000,1000,0.9970,,,,2026-05-02T09:05:56.488731+00:00
dist_shift_2023,mnist_concat.onnx,index5206_delta0.13.vnnlib,UNSAT,147.0,300,8000,7999,0.001,0.9990,0.9990,1000,0.9970,,,,2026-05-02T09:08:28.572034+00:00
dist_shift_2023,mnist_concat.onnx,index7329_delta0.13.vnnlib,UNSAT,149.1,300,8000,7999,0.001,0.9990,1.0000,1000,0.9970,,,,2026-05-02T09:11:02.623113+00:00
dist_shift_2023,mnist_concat.onnx,index292_delta0.13.vnnlib,UNSAT,121.0,300,8000,7999,0.001,0.9990,1.0000,1000,0.9970,,,,2026-05-02T09:13:08.574915+00:00
