benchmark,onnx_file,vnnlib_file,verdict,wall_s,train_s,verify_s,vnncomp_timeout_s,coverage,q,epsilon_total,delta_total,amls_bounded_eps_2_upper,amls_bounded_detected_unsafe,amls_levels_used,cex_x,cex_y,error,timestamp
metaroom_2023,4cnn_ry_117_19_no_custom_OP.onnx,spec_idx_3_eps_0.00000436.vnnlib,UNSAT,67.2,50.9,15.6,210,1.0000,5.3114,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-04T20:52:57.781359+00:00
metaroom_2023,4cnn_tz_117_19_no_custom_OP.onnx,spec_idx_49_eps_0.00001000.vnnlib,UNSAT,62.2,49.7,11.6,210,1.0000,4.1643,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-04T20:54:14.673406+00:00
metaroom_2023,4cnn_ry_68_11_no_custom_OP.onnx,spec_idx_34_eps_0.00000436.vnnlib,UNSAT,67.7,51.0,15.9,210,1.0000,5.1696,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-04T20:55:41.284157+00:00
metaroom_2023,4cnn_tz_33_5_no_custom_OP.onnx,spec_idx_58_eps_0.00001000.vnnlib,UNSAT,67.2,50.8,15.7,210,1.0000,4.5843,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-04T20:57:06.895256+00:00
metaroom_2023,6cnn_ry_57_9_no_custom_OP.onnx,spec_idx_129_eps_0.00000436.vnnlib,UNSAT,62.2,49.6,11.6,210,0.9995,7.8021,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-04T20:58:19.244592+00:00
metaroom_2023,6cnn_ry_1_0_no_custom_OP.onnx,spec_idx_108_eps_0.00000436.vnnlib,UNSAT,63.9,51.2,11.6,210,0.9990,6.4640,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-04T20:59:33.433082+00:00
metaroom_2023,6cnn_tz_52_8_no_custom_OP.onnx,spec_idx_187_eps_0.00001000.vnnlib,UNSAT,67.7,50.9,15.8,210,0.0000,0.6188,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-04T21:00:51.427245+00:00
metaroom_2023,6cnn_ry_64_10_no_custom_OP.onnx,spec_idx_132_eps_0.00000436.vnnlib,UNSAT,63.5,50.6,11.8,210,1.0000,5.4244,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-04T21:02:05.610005+00:00
metaroom_2023,6cnn_tz_49_8_no_custom_OP.onnx,spec_idx_185_eps_0.00001000.vnnlib,UNSAT,62.3,49.6,11.8,210,0.0000,1.6719,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-04T21:03:18.386836+00:00
metaroom_2023,6cnn_ry_66_11_no_custom_OP.onnx,spec_idx_134_eps_0.00000436.vnnlib,UNSAT,67.4,50.4,15.9,210,0.9995,5.3404,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-04T21:04:36.269306+00:00
metaroom_2023,4cnn_ry_20_3_no_custom_OP.onnx,spec_idx_7_eps_0.00000436.vnnlib,UNSAT,67.3,50.9,15.5,210,1.0000,5.0776,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-04T21:06:02.496677+00:00
metaroom_2023,6cnn_tz_103_17_no_custom_OP.onnx,spec_idx_154_eps_0.00001000.vnnlib,UNSAT,64.2,51.7,11.5,210,0.0000,5.2041,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-04T21:07:16.828225+00:00
metaroom_2023,4cnn_ry_44_7_no_custom_OP.onnx,spec_idx_21_eps_0.00000436.vnnlib,UNSAT,67.1,50.9,15.5,210,1.0000,4.8976,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-04T21:08:42.678645+00:00
