benchmark,instance,verdict,wall_s,timeout_s,beta,dkw_epsilon,delta,n_samples,k_disjuncts,beta_per,delta_per,n_certified_disjuncts,worst_prob_unsafe,union_upper_bound_unsafe,n_unsafe_samples,error,timestamp
metaroom_2023,4cnn_ry_117_19_no_custom_OP.onnx+spec_idx_3_eps_0.00000436.vnnlib,UNKNOWN,193.49,210,0.001,0.01,0.05,52727,19,5.2631578947368424e-05,0.002631578947368421,0,0.0,0.19,0,,2026-05-04T15:11:56.748726+00:00
metaroom_2023,4cnn_tz_117_19_no_custom_OP.onnx+spec_idx_49_eps_0.00001000.vnnlib,UNKNOWN,186.24,210,0.001,0.01,0.05,52727,19,5.2631578947368424e-05,0.002631578947368421,0,0.0,0.19,0,,2026-05-04T15:15:06.987000+00:00
metaroom_2023,4cnn_ry_68_11_no_custom_OP.onnx+spec_idx_34_eps_0.00000436.vnnlib,UNKNOWN,193.26,210,0.001,0.01,0.05,52727,19,5.2631578947368424e-05,0.002631578947368421,0,0.0,0.19,0,,2026-05-04T15:18:24.199834+00:00
metaroom_2023,4cnn_tz_33_5_no_custom_OP.onnx+spec_idx_58_eps_0.00001000.vnnlib,UNKNOWN,196.68,210,0.001,0.01,0.05,52727,19,5.2631578947368424e-05,0.002631578947368421,0,0.0,0.19,0,,2026-05-04T15:21:44.872862+00:00
metaroom_2023,6cnn_ry_57_9_no_custom_OP.onnx+spec_idx_129_eps_0.00000436.vnnlib,UNKNOWN,57.57,210,0.001,0.01,0.05,52727,19,5.2631578947368424e-05,0.002631578947368421,0,0.0,0.19,0,,2026-05-04T15:22:46.433968+00:00
metaroom_2023,6cnn_ry_1_0_no_custom_OP.onnx+spec_idx_108_eps_0.00000436.vnnlib,UNKNOWN,57.51,210,0.001,0.01,0.05,52727,19,5.2631578947368424e-05,0.002631578947368421,0,0.0,0.19,0,,2026-05-04T15:23:48.111372+00:00
metaroom_2023,6cnn_tz_52_8_no_custom_OP.onnx+spec_idx_187_eps_0.00001000.vnnlib,UNKNOWN,59.32,210,0.001,0.01,0.05,52727,19,5.2631578947368424e-05,0.002631578947368421,0,0.0,0.19,0,,2026-05-04T15:24:51.409052+00:00
metaroom_2023,6cnn_ry_64_10_no_custom_OP.onnx+spec_idx_132_eps_0.00000436.vnnlib,UNKNOWN,58.90,210,0.001,0.01,0.05,52727,19,5.2631578947368424e-05,0.002631578947368421,0,0.0,0.19,0,,2026-05-04T15:25:54.299020+00:00
metaroom_2023,6cnn_tz_49_8_no_custom_OP.onnx+spec_idx_185_eps_0.00001000.vnnlib,UNKNOWN,57.81,210,0.001,0.01,0.05,52727,19,5.2631578947368424e-05,0.002631578947368421,0,0.0,0.19,0,,2026-05-04T15:26:56.079859+00:00
metaroom_2023,6cnn_ry_66_11_no_custom_OP.onnx+spec_idx_134_eps_0.00000436.vnnlib,UNKNOWN,59.09,210,0.001,0.01,0.05,52727,19,5.2631578947368424e-05,0.002631578947368421,0,0.0,0.19,0,,2026-05-04T15:27:59.159686+00:00
metaroom_2023,4cnn_ry_20_3_no_custom_OP.onnx+spec_idx_7_eps_0.00000436.vnnlib,UNKNOWN,197.94,210,0.001,0.01,0.05,52727,19,5.2631578947368424e-05,0.002631578947368421,0,0.0,0.19,0,,2026-05-04T15:31:21.107655+00:00
metaroom_2023,6cnn_tz_103_17_no_custom_OP.onnx+spec_idx_154_eps_0.00001000.vnnlib,UNKNOWN,58.51,210,0.001,0.01,0.05,52727,19,5.2631578947368424e-05,0.002631578947368421,0,0.0,0.19,0,,2026-05-04T15:32:23.569488+00:00
metaroom_2023,4cnn_ry_44_7_no_custom_OP.onnx+spec_idx_21_eps_0.00000436.vnnlib,UNKNOWN,195.63,210,0.001,0.01,0.05,52727,19,5.2631578947368424e-05,0.002631578947368421,0,0.0,0.19,0,,2026-05-04T15:35:43.194895+00:00
metaroom_2023,4cnn_ry_99_16_no_custom_OP.onnx+spec_idx_43_eps_0.00000436.vnnlib,UNKNOWN,195.80,210,0.001,0.01,0.05,52727,19,5.2631578947368424e-05,0.002631578947368421,0,0.0,0.19,0,,2026-05-04T15:39:02.964454+00:00
metaroom_2023,4cnn_tz_19_3_no_custom_OP.onnx+spec_idx_51_eps_0.00001000.vnnlib,UNKNOWN,191.34,210,0.001,0.01,0.05,52727,19,5.2631578947368424e-05,0.002631578947368421,0,0.0,0.19,0,,2026-05-04T15:42:18.292862+00:00
metaroom_2023,6cnn_tz_66_11_no_custom_OP.onnx+spec_idx_197_eps_0.00001000.vnnlib,UNKNOWN,59.53,210,0.001,0.01,0.05,52727,19,5.2631578947368424e-05,0.002631578947368421,0,0.0,0.19,0,,2026-05-04T15:43:21.789760+00:00
metaroom_2023,6cnn_tz_0_0_no_custom_OP.onnx+spec_idx_152_eps_0.00001000.vnnlib,UNKNOWN,58.25,210,0.001,0.01,0.05,52727,19,5.2631578947368424e-05,0.002631578947368421,0,0.0,0.19,0,,2026-05-04T15:44:24.000182+00:00
metaroom_2023,6cnn_tz_118_19_no_custom_OP.onnx+spec_idx_162_eps_0.00001000.vnnlib,UNKNOWN,58.82,210,0.001,0.01,0.05,52727,19,5.2631578947368424e-05,0.002631578947368421,0,0.0,0.19,0,,2026-05-04T15:45:26.807070+00:00
