benchmark,instance,verdict,wall_s,timeout_s,beta,dkw_epsilon,delta,n_samples,k_disjuncts,beta_per,delta_per,n_certified_disjuncts,worst_prob_unsafe,union_upper_bound_unsafe,n_unsafe_samples,error,timestamp
collins_rul_cnn_2022,NN_rul_full_window_40.onnx+robustness_2perturbations_delta5_epsilon10_w40.vnnlib,UNSAT,3.98,60,0.001,0.01,0.05,41471,2,0.0005,0.025,2,0.0,0.02,0,,2026-05-04T20:06:53.657520+00:00
collins_rul_cnn_2022,NN_rul_full_window_40.onnx+robustness_2perturbations_delta10_epsilon10_w40.vnnlib,UNSAT,3.82,90,0.001,0.01,0.05,41471,2,0.0005,0.025,2,0.0,0.02,0,,2026-05-04T20:07:01.389792+00:00
collins_rul_cnn_2022,NN_rul_full_window_40.onnx+robustness_2perturbations_delta20_epsilon10_w40.vnnlib,UNSAT,3.97,120,0.001,0.01,0.05,41471,2,0.0005,0.025,2,0.0,0.02,0,,2026-05-04T20:07:09.271574+00:00
collins_rul_cnn_2022,NN_rul_full_window_40.onnx+robustness_2perturbations_delta40_epsilon10_w40.vnnlib,UNSAT,3.53,300,0.001,0.01,0.05,41471,2,0.0005,0.025,2,0.0,0.02,0,,2026-05-04T20:07:16.814608+00:00
collins_rul_cnn_2022,NN_rul_full_window_40.onnx+robustness_4perturbations_delta5_epsilon10_w40.vnnlib,SAT,3.92,120,0.001,0.01,0.05,41471,2,0.0005,0.025,1,1.0,1.02,41471,,2026-05-04T20:07:24.688778+00:00
collins_rul_cnn_2022,NN_rul_full_window_40.onnx+robustness_4perturbations_delta10_epsilon10_w40.vnnlib,SAT,3.99,120,0.001,0.01,0.05,41471,2,0.0005,0.025,1,1.0,1.02,41471,,2026-05-04T20:07:32.722464+00:00
collins_rul_cnn_2022,NN_rul_full_window_40.onnx+robustness_4perturbations_delta20_epsilon10_w40.vnnlib,UNSAT,3.99,120,0.001,0.01,0.05,41471,2,0.0005,0.025,2,0.0,0.02,0,,2026-05-04T20:07:40.702232+00:00
collins_rul_cnn_2022,NN_rul_full_window_40.onnx+robustness_4perturbations_delta40_epsilon10_w40.vnnlib,SAT,3.93,300,0.001,0.01,0.05,41471,2,0.0005,0.025,1,0.8832195992380217,0.9032195992380218,36628,,2026-05-04T20:07:48.685055+00:00
collins_rul_cnn_2022,NN_rul_full_window_40.onnx+robustness_8perturbations_delta5_epsilon10_w40.vnnlib,UNSAT,3.96,120,0.001,0.01,0.05,41471,2,0.0005,0.025,2,0.0,0.02,0,,2026-05-04T20:07:56.661784+00:00
collins_rul_cnn_2022,NN_rul_full_window_40.onnx+robustness_8perturbations_delta10_epsilon10_w40.vnnlib,UNSAT,4.11,300,0.001,0.01,0.05,41471,2,0.0005,0.025,2,0.0,0.02,0,,2026-05-04T20:08:04.760445+00:00
collins_rul_cnn_2022,NN_rul_full_window_40.onnx+robustness_8perturbations_delta20_epsilon10_w40.vnnlib,UNSAT,3.66,300,0.001,0.01,0.05,41471,2,0.0005,0.025,2,0.0,0.02,0,,2026-05-04T20:08:12.444004+00:00
collins_rul_cnn_2022,NN_rul_full_window_40.onnx+robustness_8perturbations_delta40_epsilon10_w40.vnnlib,SAT,3.98,600,0.001,0.01,0.05,41471,2,0.0005,0.025,1,1.0,1.02,41471,,2026-05-04T20:08:20.323722+00:00
collins_rul_cnn_2022,NN_rul_full_window_40.onnx+robustness_16perturbations_delta5_epsilon10_w40.vnnlib,UNSAT,4.03,300,0.001,0.01,0.05,41471,2,0.0005,0.025,2,0.0,0.02,0,,2026-05-04T20:08:28.259953+00:00
collins_rul_cnn_2022,NN_rul_full_window_40.onnx+robustness_16perturbations_delta10_epsilon10_w40.vnnlib,UNSAT,3.94,300,0.001,0.01,0.05,41471,2,0.0005,0.025,2,0.0,0.02,0,,2026-05-04T20:08:36.118457+00:00
collins_rul_cnn_2022,NN_rul_full_window_40.onnx+robustness_16perturbations_delta20_epsilon10_w40.vnnlib,UNSAT,3.98,600,0.001,0.01,0.05,41471,2,0.0005,0.025,2,0.0,0.02,0,,2026-05-04T20:08:44.014550+00:00
collins_rul_cnn_2022,NN_rul_full_window_40.onnx+robustness_16perturbations_delta40_epsilon10_w40.vnnlib,UNSAT,3.96,1200,0.001,0.01,0.05,41471,2,0.0005,0.025,2,0.0,0.02,0,,2026-05-04T20:08:51.888509+00:00
collins_rul_cnn_2022,NN_rul_full_window_40.onnx+monotonicity_CI_shift5_w40.vnnlib,UNSAT,3.57,120,0.001,0.01,0.05,41471,2,0.0005,0.025,2,0.0,0.02,0,,2026-05-04T20:08:59.406766+00:00
collins_rul_cnn_2022,NN_rul_full_window_40.onnx+monotonicity_CI_shift10_w40.vnnlib,UNSAT,3.62,300,0.001,0.01,0.05,41471,2,0.0005,0.025,2,0.0,0.02,0,,2026-05-04T20:09:07.067428+00:00
collins_rul_cnn_2022,NN_rul_full_window_40.onnx+monotonicity_CI_shift20_w40.vnnlib,UNSAT,3.44,600,0.001,0.01,0.05,41471,2,0.0005,0.025,2,0.0,0.02,0,,2026-05-04T20:09:14.756259+00:00
