benchmark,onnx_file,vnnlib_file,verdict,wall_s,vnncomp_timeout_s,p_filter,lp_solver,p_min,p_max,threshold,n_disjuncts,error,timestamp
dist_shift_2023,mnist_concat.onnx,index9211_delta0.13.vnnlib,NOT_APPLICABLE,4.19,300,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: unsupported onnx op_type Gemm in node Gemm_3,2026-05-05T23:45:17.553544+00:00
dist_shift_2023,mnist_concat.onnx,index1159_delta0.13.vnnlib,NOT_APPLICABLE,4.09,300,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: unsupported onnx op_type Gemm in node Gemm_3,2026-05-05T23:45:25.668082+00:00
dist_shift_2023,mnist_concat.onnx,index4901_delta0.13.vnnlib,NOT_APPLICABLE,4.08,300,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: unsupported onnx op_type Gemm in node Gemm_3,2026-05-05T23:45:33.648848+00:00
dist_shift_2023,mnist_concat.onnx,index1662_delta0.13.vnnlib,NOT_APPLICABLE,4.09,300,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: unsupported onnx op_type Gemm in node Gemm_3,2026-05-05T23:45:41.633841+00:00
dist_shift_2023,mnist_concat.onnx,index7606_delta0.13.vnnlib,NOT_APPLICABLE,4.08,300,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: unsupported onnx op_type Gemm in node Gemm_3,2026-05-05T23:45:49.610990+00:00
dist_shift_2023,mnist_concat.onnx,index1537_delta0.13.vnnlib,NOT_APPLICABLE,4.09,300,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: unsupported onnx op_type Gemm in node Gemm_3,2026-05-05T23:45:57.618022+00:00
dist_shift_2023,mnist_concat.onnx,index3863_delta0.13.vnnlib,NOT_APPLICABLE,4.30,300,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: unsupported onnx op_type Gemm in node Gemm_3,2026-05-05T23:46:05.934606+00:00
dist_shift_2023,mnist_concat.onnx,index6792_delta0.13.vnnlib,NOT_APPLICABLE,4.21,300,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: unsupported onnx op_type Gemm in node Gemm_3,2026-05-05T23:46:14.209995+00:00
dist_shift_2023,mnist_concat.onnx,index2481_delta0.13.vnnlib,NOT_APPLICABLE,4.18,300,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: unsupported onnx op_type Gemm in node Gemm_3,2026-05-05T23:46:22.502789+00:00
dist_shift_2023,mnist_concat.onnx,index9027_delta0.13.vnnlib,NOT_APPLICABLE,4.04,300,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: unsupported onnx op_type Gemm in node Gemm_3,2026-05-05T23:46:30.507226+00:00
dist_shift_2023,mnist_concat.onnx,index6136_delta0.13.vnnlib,NOT_APPLICABLE,4.18,300,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: unsupported onnx op_type Gemm in node Gemm_3,2026-05-05T23:46:38.734420+00:00
dist_shift_2023,mnist_concat.onnx,index4799_delta0.13.vnnlib,NOT_APPLICABLE,4.09,300,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: unsupported onnx op_type Gemm in node Gemm_3,2026-05-05T23:46:46.820366+00:00
dist_shift_2023,mnist_concat.onnx,index3444_delta0.13.vnnlib,NOT_APPLICABLE,4.08,300,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: unsupported onnx op_type Gemm in node Gemm_3,2026-05-05T23:46:54.894221+00:00
dist_shift_2023,mnist_concat.onnx,index5328_delta0.13.vnnlib,NOT_APPLICABLE,4.29,300,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: unsupported onnx op_type Gemm in node Gemm_3,2026-05-05T23:47:03.191912+00:00
dist_shift_2023,mnist_concat.onnx,index1031_delta0.13.vnnlib,NOT_APPLICABLE,4.10,300,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: unsupported onnx op_type Gemm in node Gemm_3,2026-05-05T23:47:11.334042+00:00
dist_shift_2023,mnist_concat.onnx,index3401_delta0.13.vnnlib,NOT_APPLICABLE,4.08,300,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: unsupported onnx op_type Gemm in node Gemm_3,2026-05-05T23:47:19.411092+00:00
dist_shift_2023,mnist_concat.onnx,index9101_delta0.13.vnnlib,NOT_APPLICABLE,4.05,300,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: unsupported onnx op_type Gemm in node Gemm_3,2026-05-05T23:47:27.458684+00:00
dist_shift_2023,mnist_concat.onnx,index7109_delta0.13.vnnlib,NOT_APPLICABLE,4.05,300,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: unsupported onnx op_type Gemm in node Gemm_3,2026-05-05T23:47:35.515055+00:00
dist_shift_2023,mnist_concat.onnx,index4312_delta0.13.vnnlib,NOT_APPLICABLE,4.19,300,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: unsupported onnx op_type Gemm in node Gemm_3,2026-05-05T23:47:43.805691+00:00
dist_shift_2023,mnist_concat.onnx,index9203_delta0.13.vnnlib,NOT_APPLICABLE,4.08,300,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: unsupported onnx op_type Gemm in node Gemm_3,2026-05-05T23:47:51.906491+00:00
dist_shift_2023,mnist_concat.onnx,index1929_delta0.13.vnnlib,NOT_APPLICABLE,4.04,300,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: unsupported onnx op_type Gemm in node Gemm_3,2026-05-05T23:47:59.864237+00:00
dist_shift_2023,mnist_concat.onnx,index6217_delta0.13.vnnlib,NOT_APPLICABLE,4.15,300,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: unsupported onnx op_type Gemm in node Gemm_3,2026-05-05T23:48:08.047809+00:00
dist_shift_2023,mnist_concat.onnx,index4272_delta0.13.vnnlib,NOT_APPLICABLE,4.08,300,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: unsupported onnx op_type Gemm in node Gemm_3,2026-05-05T23:48:16.242034+00:00
dist_shift_2023,mnist_concat.onnx,index316_delta0.13.vnnlib,NOT_APPLICABLE,4.35,300,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: unsupported onnx op_type Gemm in node Gemm_3,2026-05-05T23:48:24.608902+00:00
dist_shift_2023,mnist_concat.onnx,index2750_delta0.13.vnnlib,NOT_APPLICABLE,4.08,300,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: unsupported onnx op_type Gemm in node Gemm_3,2026-05-05T23:48:32.581360+00:00
